Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.247-74.125.195.189-49924-443-6,74.125.195.189,443,192.168.1.247,49924,6,02/10/2019 02:56:11 PM,121397,5,6,270.0,776.0,200.0,0.0,54.0,83.51945881050715,683.0,0.0,129.33333333333334,272.2364168634804,8616.357900112853,90.61179436065142,12139.7,17044.146242103834,47244.0,8.0,121194.0,30298.5,21814.924195757972,47244.0,344.0,46404.0,9280.8,20298.364951394484,45591.0,21.0,0,1,0,0,160,192,41.18717925484155,49.42461510580986,0.0,683.0,91.66666666666666,194.34988754274798,37771.878787878784,0,0,0,1,1,0,0,0,1.0,100.0,54.0,129.33333333333334,0,0,0,0,0,0,5,270,6,776,-1,969,3,0,0,0,0,0,0,0,0,0,No Label
192.168.1.247-74.125.20.189-38750-443-6,74.125.20.189,443,192.168.1.247,38750,6,02/10/2019 02:56:09 PM,1268600,1,3,54.0,54.0,54.0,54.0,54.0,0.0,54.0,0.0,18.0,31.176914536239792,85.13321772032162,3.1530821377896894,422866.6666666666,732376.3220212224,1268542.0,28.0,0,0,0,0,0,1268600.0,634300.0,896993.236206383,1268570.0,30.0,0,1,0,0,32,96,0.7882705344474223,2.3648116033422673,0.0,54.0,32.4,29.57701810527897,874.8,0,0,0,1,1,0,0,0,3.0,40.5,54.0,18.0,0,0,0,0,0,0,1,54,3,54,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
172.217.6.37-192.168.1.247-443-40552-6,192.168.1.247,40552,172.217.6.37,443,6,02/10/2019 02:56:09 PM,11461,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,174.5048425093796,11461.0,0.0,11461.0,11461.0,0,0,0,0,0,11461.0,11461.0,0.0,11461.0,11461.0,0,0,0,0,0,64,0.0,174.5048425093796,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,400,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.247-52.37.243.173-41608-443-6,192.168.1.247,41608,52.37.243.173,443,6,02/10/2019 02:56:09 PM,60013,1,3,0.0,126.0,0.0,0.0,0.0,0.0,63.0,0.0,42.0,36.373066958946424,2099.545098561978,66.65222535117391,20004.333333333336,17309.58697754898,30039.0,17.0,0,0,0,0,0,59996.0,29998.0,57.982756057296896,30039.0,29957.0,0,1,0,0,32,96,16.663056337793478,49.98916901338044,0.0,63.0,37.8,34.50652112282547,1190.7,0,0,0,1,1,0,0,0,3.0,47.25,0.0,42.0,0,0,0,0,0,0,1,0,3,126,-1,27,0,0,0,0,0,0,0,0,0,0,No Label
